,id,0,lon,lat
0,82024,11.888932659392227,-60.65,2.81666666666667
1,82042,23.068515646341705,-61.133333333333304,1.8333333333333302
2,82098,233.59749786917715,-51.116666666666696,-0.05
3,82106,15.590237165368725,-67.0,-0.116666666666667
4,82113,18.327466556998285,-62.9166666666667,-0.966666666666667
5,82141,234.02427099770512,-48.5166666666667,-0.733333333333333
6,82145,238.7209921156588,-46.9,-1.06666666666667
7,82178,14.130145457105167,-55.5166666666667,-1.9166666666666698
8,82181,222.8489985693677,-54.0833333333333,-2.0
9,82184,225.97627901936303,-52.2333333333333,-1.73333333333333
10,82188,232.74779761971354,-50.4833333333333,-1.6833333333333302
11,82191,238.36126443376804,-48.4333333333333,-1.4333333333333302
12,82198,231.89253673111352,-45.366666666666696,-1.5666666666666698
13,82212,239.16196911155373,-66.1666666666667,-2.53333333333333
14,82246,242.42941714951084,-54.95,-2.63333333333333
15,82263,230.72403567201113,-49.5,-2.25
16,82280,208.67404012627986,-44.2166666666667,-2.53333333333333
17,82317,1.6638532607056717,-64.7,-3.8333333333333304
18,82326,23.466781414333177,-62.0833333333333,-3.8333333333333304
19,82331,0.7331094636845265,-59.95,-3.11666666666667
20,82336,-0.8287229593089879,-58.4333333333333,-3.13333333333333
21,82353,219.7620821301216,-52.2166666666667,-3.21666666666667
22,82361,226.55627802538334,-49.6666666666667,-3.7666666666666697
23,82376,222.95661377928568,-45.65,-3.2666666666666697
24,82382,221.821229421296,-43.35,-3.7333333333333303
25,82392,223.4626927701923,-40.3333333333333,-3.7333333333333303
26,82397,237.06526917437026,-38.55,-3.75
27,82410,17.803284009765992,-70.0333333333333,-4.38333333333333
28,82445,228.65697879129874,-56.0,-4.2833333333333306
29,82460,237.55259081101855,-44.7666666666667,-4.2166666666666694
30,82476,221.6869400821312,-43.35,-4.86666666666667
31,82487,254.15515408190035,-39.0,-4.2833333333333306
32,82533,10.250953325539868,-61.3,-5.81666666666667
33,82564,231.62301691433126,-47.4833333333333,-5.5333333333333306
34,82571,228.201725896932,-45.2333333333333,-5.5
35,82578,224.70179430023953,-42.816666666666706,-5.08333333333333
36,82586,229.62267296652306,-39.283333333333296,-5.16666666666667
37,82588,235.11151707217445,-38.3666666666667,-5.11666666666667
38,82590,226.4375778500081,-37.816666666666706,-5.61666666666667
39,82596,244.3741149594606,-35.65,-5.65
40,82598,241.33029684376254,-35.2,-5.91666666666667
41,82610,14.703563897962365,-69.8666666666667,-6.66666666666667
42,82659,223.7386418359337,-48.2,-7.2
43,82668,239.2263405053147,-51.9666666666667,-6.63333333333333
44,82676,216.91231578752007,-44.2333333333333,-6.0333333333333306
45,82678,216.20890483298786,-43.0166666666667,-6.76666666666667
46,82683,225.11260503444456,-40.4166666666667,-6.0
47,82686,222.81110472388823,-39.3,-6.36666666666667
48,82689,228.43178995267687,-38.216666666666704,-6.75
49,82693,232.9238924349907,-36.5833333333333,-6.43333333333333
50,82723,17.13446444214912,-64.8333333333333,-7.25
51,82753,230.0310672708679,-40.05,-7.9
52,82765,220.44462136894495,-47.4666666666667,-7.33333333333333
53,82768,224.5562103186803,-46.0333333333333,-7.5333333333333306
54,82780,225.1401873521747,-41.4833333333333,-7.0333333333333306
55,82792,240.06316312818203,-37.066666666666706,-7.88333333333333
56,82795,256.6173619002796,-35.8833333333333,-7.2166666666666694
57,82797,253.60260123411217,-35.716666666666704,-7.83333333333333
58,82798,242.1105040331074,-34.866666666666696,-7.1
59,82807,11.332590932880949,-70.7666666666667,-8.16666666666667
60,82861,212.64268913303619,-49.2666666666667,-8.26666666666667
61,82863,221.3934768467375,-48.1833333333333,-8.96666666666667
62,82882,235.29442330026615,-41.1333333333333,-8.13333333333333
63,82886,227.2544629144555,-39.3333333333333,-8.51666666666667
64,82890,251.7474945114724,-37.0833333333333,-8.41666666666667
65,82893,250.13864499661537,-36.5166666666667,-8.88333333333333
66,82900,245.26847273114876,-34.95,-8.05
67,82915,233.74899710921247,-67.8,-9.96666666666667
68,82975,230.92673576443548,-44.116666666666696,-9.1
69,82976,-61.248078415137485,-43.3333333333333,-9.28333333333333
70,82979,227.716327220756,-42.1,-9.63333333333333
71,82983,228.56696369371704,-40.466666666666704,-9.36666666666667
72,82992,246.55305446388792,-36.7,-9.45
73,82994,247.18912380330553,-35.7,-9.66666666666667
74,82996,242.84269432411762,-35.433333333333294,-9.18333333333333
75,83007,-11.621584953268396,-43.2666666666667,-22.95
76,83033,218.4695944588987,-48.3,-10.1833333333333
77,83049,19.058569221578047,-43.4166666666667,-22.35
78,83064,217.53817265895754,-48.4166666666667,-10.7166666666667
79,83076,229.63329088556355,-44.5166666666667,-11.016666666666698
80,83090,256.8555569115972,-39.3,-10.4333333333333
81,83096,237.32342487587817,-37.05,-10.95
82,83097,243.7909386830872,-36.8666666666667,-10.2
83,83114,17.74108374379287,-42.183333333333294,-22.8333333333333
84,83179,223.04613608418444,-43.1666666666667,-11.083333333333302
85,83182,226.512323482524,-41.8666666666667,-11.3
86,83184,253.8503844007928,-41.216666666666704,-11.216666666666699
87,83186,-72.36068008240332,-40.466666666666704,-11.183333333333302
88,83190,258.79975824920336,-38.966666666666704,-11.6333333333333
89,83192,239.3041728134252,-38.5166666666667,-11.083333333333302
90,83195,246.2984251312855,-37.816666666666706,-11.1166666666667
91,83222,241.81138923763388,-39.0833333333333,-12.666666666666698
92,83228,216.81796065116978,-48.35,-12.016666666666698
93,83229,253.9404220939669,-38.5,-13.0
94,83235,214.15068112925553,-46.4166666666667,-12.4
95,83236,214.24944926501854,-45.0,-12.15
