date,id,prec,tair,tw,tmax,tmin,urmax,patm,pnmm,wd,wsmax,n,cc,evap,ur,ws,request_status
2019-01-15T00:00:00Z,83781,-9999,25.2,21.8,31.8,-9999,74,925.7,1013.3,0,0,-9999,10,5.5,66,0.8,Success: (200) OK
2019-01-15T12:00:00Z,83781,0,24.5,20.6,-9999,22.7,70,926.1,1013.8,5,1.6,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-16T00:00:00Z,83781,-9999,27.9,22.8,31,-9999,64,924.7,1012.1,0,0,-9999,3,5.5,86,2.9,Success: (200) OK
2019-01-16T12:00:00Z,83781,8.8,24.7,21.9,-9999,20.2,78,927.9,1015.5,5,0.8,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-17T00:00:00Z,83781,-9999,21.2,20.1,33.7,-9999,90,926.9,1015.1,14,5,-9999,10,4.7,86,1.2,Success: (200) OK
2019-01-17T12:00:00Z,83781,3.2,24.4,20.5,-9999,19.6,70,926,1014.1,14,0.8,-9999,9,-9999,-9999,-9999,Success: (200) OK
2019-01-18T00:00:00Z,83781,-9999,22.8,22.1,32.8,-9999,94,926.6,1014.4,14,1.6,-9999,6,4.8,77,1.85,Success: (200) OK
2019-01-18T12:00:00Z,83781,10.2,26,22.7,-9999,19.5,73,926.4,1014.2,5,2.1,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-01-19T00:00:00Z,83781,-9999,24.4,21.8,33.4,-9999,79,925.8,1013.4,9,1.6,-9999,10,5,69,0.8,Success: (200) OK
2019-01-19T12:00:00Z,83781,0,26.2,21.7,-9999,22,67,924.6,1012.1,14,1.6,-9999,3,-9999,-9999,-9999,Success: (200) OK
2019-01-20T00:00:00Z,83781,-9999,25.2,21.3,32,-9999,70,923.5,1010.9,0,0,-9999,10,6.7,80,0.8,Success: (200) OK
2019-01-20T12:00:00Z,83781,1,26.2,22.1,-9999,22.1,69,925.3,1012.7,5,1.6,-9999,5,-9999,-9999,-9999,Success: (200) OK
2019-01-21T00:00:00Z,83781,-9999,24.4,22.5,33.9,-9999,85,925.7,1013.3,0,0,-9999,8,3.8,74,1.6,Success: (200) OK
2019-01-21T12:00:00Z,83781,0.6,27,23,-9999,21.8,71,925.4,1013.5,36,1.6,-9999,4,-9999,-9999,-9999,Success: (200) OK
2019-01-22T00:00:00Z,83781,-9999,27.3,24.1,31.5,-9999,76,926,1013.3,14,1.6,-9999,3,7.5,80,2.8,Success: (200) OK
2019-01-22T12:00:00Z,83781,0,27.5,23.9,-9999,21.4,73,927.9,1014.9,5,2,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-01-23T00:00:00Z,83781,-9999,24.7,22.5,32.2,-9999,83,927.1,1014.7,14,3.6,-9999,6,3,82,2.5,Success: (200) OK
2019-01-23T12:00:00Z,83781,22,25.2,22.5,-9999,21.3,80,928,1015.9,14,2.5,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-01-24T00:00:00Z,83781,-9999,24,21.9,30.5,-9999,83,926.6,1014.5,23,2.5,-9999,10,3.4,79,2.05,Success: (200) OK
2019-01-24T12:00:00Z,83781,6,25.8,21.8,-9999,18.6,69,926.4,1014.1,9,2.1,-9999,6,-9999,-9999,-9999,Success: (200) OK
2019-01-25T00:00:00Z,83781,-9999,22.3,20.3,27.4,-9999,84,926.1,1014,18,2,-9999,5,2,86,2.8,Success: (200) OK
2019-01-25T12:00:00Z,83781,44,24.2,21.5,-9999,18,79,926.3,1014.4,14,2.1,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-26T00:00:00Z,83781,-9999,18.4,17.3,28.7,-9999,89,926.7,1015.2,14,3.5,-9999,10,2.5,92,2.25,Success: (200) OK
2019-01-26T12:00:00Z,83781,23.5,19.5,18.9,-9999,16.5,94,927.7,1016.8,14,2.5,-9999,10,-9999,-9999,-9999,Success: (200) OK
2019-01-27T00:00:00Z,83781,-9999,20,19.1,31,-9999,91,925.4,1013.2,14,2,-9999,2,3.2,66,0.8,Success: (200) OK
2019-01-27T12:00:00Z,83781,0,24.2,20.3,-9999,19,68,927.7,1016.2,5,1.6,-9999,3,-9999,-9999,-9999,Success: (200) OK
2019-01-28T00:00:00Z,83781,-9999,26,21.1,34,-9999,64,927.8,1015.7,0,0,-9999,10,5.3,72,1.6,Success: (200) OK
2019-01-28T12:00:00Z,83781,0,26.5,21.8,-9999,21.3,65,929.8,1017.7,18,1.6,-9999,2,-9999,-9999,-9999,Success: (200) OK
2019-01-29T00:00:00Z,83781,-9999,27.2,23.8,32.7,-9999,75,927.8,1015.3,18,1.6,-9999,2,7.4,67,0.8,Success: (200) OK
2019-01-29T12:00:00Z,83781,0,28.1,22.5,-9999,22.7,60,929.6,1017.2,5,1.6,-9999,0,-9999,-9999,-9999,Success: (200) OK
2019-01-30T00:00:00Z,83781,-9999,25,21.1,35.1,-9999,70,929.9,1017.7,0,0,-9999,4,4.6,68,1.5,Success: (200) OK
2019-01-30T12:00:00Z,83781,1.2,26.2,21.8,-9999,18,67,927.1,1014.6,0,0,-9999,4,-9999,-9999,-9999,Success: (200) OK
2019-01-31T00:00:00Z,83781,-9999,22.4,18.5,34.4,-9999,68,925.8,1013.6,14,3,-9999,0,5.5,48.25,1.533333,Success: (200) OK
2019-01-31T12:00:00Z,83781,52,25.6,21.3,-9999,17.8,78,926.3,1013.9,0,0,-9999,0,-9999,-9999,-9999,Success: (200) OK
2019-01-31T18:00:00Z,83781,-9999,33.7,21.3,-9999,-9999,31,924.5,1013.8,14,2.5,-9999,7,-9999,-9999,-9999,Success: (200) OK
2019-02-01T00:00:00Z,83781,-9999,28.1,19.3,35.5,-9999,42,925.2,1012.4,5,2.1,-9999,0,10.2,54.75,1.866667,Success: (200) OK
2019-02-01T12:00:00Z,83781,0,27.9,20.4,-9999,21.7,49,926.1,1013.2,36,1.6,-9999,8,-9999,-9999,-9999,Success: (200) OK
2019-02-01T18:00:00Z,83781,-9999,34.9,20.4,-9999,-9999,24,924.1,1010.6,27,2,-9999,1,-9999,-9999,-9999,Success: (200) OK
